content,title
"
,
  ,
本來是要畫扁鵲,
結果，發現畫針上去不太好看，所以請自行想像畫面。

孔丘：嚇～！妳幹麼想不開，拿大針插自己頭啊！？
扁鵲：最近頭有點不太舒服，所以就自己治療自己一下。小丘妳也想試試
      看嗎？（茶）
孔丘：不···不用了···（好可怕，真是個怪人。）

,
參考lightwee的人設修改的服裝版本，右手是拿紙傘。

--

,
,
,
,
,-> ,

--
,◆ From: 66.111.62.174
",Re: [倫語]塗鴉  女神醫扁鵲  草稿
"

        ,

        其實這文章寫好一陣子了

        不過之前總認為沒啥必要所以一直存著

        這次漫博似乎有越來越多人從台北縣市以外的地方來台北

        所以就修改一下貼出來囉

        希望對於想在台北挖寶的人有幫助～

--
台灣現在社會結構  70％宅宅  10％腦殘  10％台客  10％頂尖人士

,

--
,◆ From: 218.168.77.195
",[閒聊] 似乎有越來越多人需要地圖？
"
,
下面的連結僅代表我的感謝之意


,
,



錄的不太好就抱歉了，因為我家電腦也不是很好
錄下來方便大家作個參考跟回顧現在的字幕

,
不管怎樣看這兩個數字都挺驚人的XDDDDDDDD

雖然覺得有些可惜......
""可惡，就差一點點了，馬上就可以搶進前30名^^|||""
每個有參與到的人心中不免有這種想法
但是除了這些想法外，我個人可說是相當的滿足

這動畫帶來的收益除了自娛娛人
讓大家有很踏實的參與感
附加價值也是我意想不到的......

,
,

光是這兩個就嚇到我了XD
我辦活動之前也沒有想到會有日方為我們特設的網頁出現
這結果讓我吃驚也讓我很感動

還有令我很感動得是說
這活動聯繫了不少人
原本我們素不相識，經過這一場活動
大家變得熟絡起來
看到大家的聲音，圖畫隱藏了無限的可能性
真的是很有趣很有趣
新點子不斷的出來，讓整篇動畫完善許多
真的很謝謝在重要關頭提供這些新點子的人
沒有你們，這篇動畫不可能這樣的成功！

如果你們有空按下小寫a
打下我的ID
會發現我在西洽的所有發文
在這16000篇裡面只是佔了不到千分之五
我不常常發文，光只會潛水而已
只因為一篇的嘴炮文章，讓我動了這活動的念頭
這念頭越來越強大
於是就誕生了這看不到盡頭看不到成果的活動

有誰知道說這活動的主辦人會不會中途繞跑
讓這活動變成一個美其名，空其殼的活動？
搞不好說穿了只是三分鐘熱度.......

一開始就碰到很多很多的問題
不管是明的好，暗的也好
全部在同一個時間湧上來，幾乎把我淹沒
真想一走了之算了
頂多janleon這ID永遠消失在PTT，失蹤人口一枚
再去申請一個免洗ID從頭來過即可

但是想想，我真的很想跟大家一起唱歌
機會真的難得，如果說錯過了這一次，我的人生裡面很難再有這樣的一個機會出現
於是我咬緊牙根撐了下來
素材一一的出現，我的壓力也越來越大
如果這活動辦不好，可能會浪費大家的心血
成為大家失望的回憶，所以我告訴自己一定要撐到最後

活動的一個禮拜
我每天早上一起床就趕快衝到電腦桌前
看看有什麼有關活動的消息，版友的反應，還有音樂跟影片剪輯的負責人的作品
真的很怕錯看任一個訊息
導致整個活動的失敗
戰戰兢兢的面對這個活動
但是其中有苦當然也有樂
看到大家的作品逐漸成型，參加的人數漸漸多了起來
心中就有一種莫名的安心感
有你們這群熱心的版友真好^^

因為是西洽，所以這活動才可以辦的成功
也因為是PTT，大家才會這樣的熱情
PTT的西洽是個世外桃源
與其他地方的討論區不同
江海納百川，每個人的看法得以被尊重
真的是個很好的地方

有機會的話，真的有機會的話，很想再跟大家唱一次
不論歌聲好壞與否，享受大家一起參與製作的感覺
只要用了心，作品就會好
有了創意，作品就會棒
花點腦筋，作品就會嚇嚇叫
你說是吧^^


接接文，開開燈，恢復到那千分之五裡面，跟平常一樣
大家可能也是這千分之五，甚至更多
其實我跟一般版友沒啥兩樣
今天突發奇想的跳了出來
希望大家也能夠多多有突發奇想，不管結果可不可能
但是你不說出來，怎麼知道有沒有人有跟你一樣的想法呢？


文章到此為止，夏天還很長，希望大家盡情的揮霍自己的暑假
新番很多，遊戲很多，NICO每天都很有趣^^

以上^^

                        囉唆死的版友 janleon 一枚 在這邊跟大家說謝謝<(_ _)>

--
,◆ From: 125.230.125.219
",[感謝] 台灣NICO組曲謝幕，感想，及小小禮物送給大家！
"
,
作者: imfafa (fafa) 看板: HOT_Game
標題: [外交] 日本某謎討論區用語總匯
時間: Mon Jun 25 16:41:06 2007

十萬鄉民十萬宅，人人吃翻譯米糕。

歡迎各位推文提出問題，統一整理於此篇。


ｋｓｋ＝加速
ｇｎｓｋ＝ｇんｓｋ＝減速＝降速
ｋｗｓｋ＝詳しく＝詳情（希望）
ｗｋｔｋ＝ワクテカ＝ワクワクテカテカ＝超期待到氣血加速容光煥發
ｋｔｋｒ＝来たこれ＝來了來了
ｇｄｇｄ＝グダグダ＝拖泥帶水、亂搞一通
age＝上げ＝推上
sage＝下げ＝壓下
（一般情況下回應都是age，除非在Email欄位輸入sage。）
（被age的討論串會被推到該討論板最上面，而若sage則不會變動再討論板內的位置。）
age進行＝討論串全員上推進行討論（一般用在要推廣什麼，或重要事項的時候）

スレ＝スレッド＝thread＝討論串
レス＝レスポンス＝response＝回應
安価＝アンカー＝anchor＝頁面內超連結指向

今北産業＝現在人剛來告訴我至今為止的現況限三行
（今来たばかりなので今までの状況を三行で説明してくれ）
今帰宅産業＝剛到家以下省略
（今帰宅ばかりなので今までの状況を三行で説明してくれ）
今沖田産業＝剛起床以下省略
（今起きたばかりなので今までの状況を三行で説明してくれ）
今北紙業＝四行　今北御形＝五行　今北従業（今北銃業）＝十行
今北専業＝千行（最好寫的完）　今北鉄道＝耍白爛的，隨便你寫幾行

ワロタ＝ワロス＝ワラタ＝笑った＝笑了
ｗｗｗ＝笑った＝XDDDD
草＝ｗｗｗｗ
サーセン＝すみません（沒誠意無氣力的念法就會變那樣）＝SORRY
おｋ＝OK
うｐ＝Upload＝上傳
（ｒｙ＝（略）
乙＝おつ＝おつかれ＝お疲れ様＝辛苦了
バーロー＝ばかやろ（馬鹿野郎）＝混帳／笨蛋（說這句話最有名的就是毛利小五郎了）
廚房＝中坊＝國中生（尤其指白目國中生）
工房＝高坊＝高中生（尤其是白目的）
消防＝小坊＝國小生（略）
ギガ＝giga（GB的那個G）＝超～（作副詞用，形容程度大）
テラ＝tera（TB的那個T）＝超～（作副詞用，形容程度很大）
中二病＝指國二的小鬼思春期＋叛逆期時的一種壞症頭。病因是自意識過剩。
        詳細請看日Wikipedia：,
        這種症頭在網路上會變愛亂嗆亂批評人，口出惡言（雖然2ch大家都沒禮貌）
        以為別人都是笨蛋，自認清高，不能容忍他人的錯誤（自己有沒有則是其次）
        甚至會假借正義魔人的立場亂板，然後認為自己是與眾不同的。
        對於一些看不順眼的東西或者樹大招風的東西，可能基於忌妒或厭惡，
        會作出很多異常辛辣令人難以接受的批評言論等等等等。

--
美少女ACG社群Otakus：,
Otakus Web論壇：,
Missagain(My Blog)：,

--
,◆ From: 61.62.12.207
",[外交] 2ch用語總匯
"
幫補充一下，要在2ch混還要懂得(ry

 作者  h4i (h4i寶蓮)                                  看板  xxxxxx
 標題  Re: 那…
 時間  Fri Aug  3 04:32:21 2007
────────────────────────────[←離開] [PgUp] [PgDn]

羅馬拼音打「略」必須要鍵入りゃく，也就是ryaku。
(ry的意思就是「略」的縮寫。

EX:台北最近天氣真怪，每天都在下午後雷陣(略

不用說我們也知道全句應該是「每天都在下午後雷陣雨」。
這裡就是把「雨」字給省略掉了。

但是人的惰性就和無敵鐵金剛的光子力能源一樣，是有無限的可能性。
所以就連「(略」都被人簡寫成「(ry」。

EX︰台北最近天氣真怪，每天都在下午後雷陣(ry


此外，依照使用時機不同，這個「(ry」也會稍微帶有嘲諷的意味。
意思就是「我不想把話說那麼明，你自己看懂就好。」

EX︰我是很想在台北買一棟房子啊，但是台北的房價實在是(ry

--
                靠腰！            ▊
                再伸來源的先剁手指 ╰(‵皿′＊)       (Ascii Art by t4n)

--
,◆ From: 219.81.134.221
",Re: [外交] 2ch用語總匯
"
, ,
,
其實這張圖是展現原po壯士斷腕的決心

把23G燒掉迎接嶄新的一年

有發現精華區隱藏關卡的都來刻下你的大名吧ｗ





--
一口氣看一堆糟糕本超累的
不過身體倒是挺老實

--
,◆ From: 203.203.143.211
,                                     11/09 03:24
",[塗鴉] 天元希恰燃えだ！
"
,   
1.把想看的NICO影片網址複製，,
2.到上面網頁內把網址貼到,
3.旁邊的,
  ,，不過沒字幕而且會是全螢幕模式
              ,

,
把你想要看的影片編號複製  ,就是,
填入此串網址最後面即可,
變成,就可以直接看了，不過一樣沒字幕
,

如果你沒有mylist，如何新增一個mylist?
,
,Tips: 免費會員可以新增25個mylist，放100個影片（一個影片放2個list會算2個影片喔)

如何把影片加到mylist?
,
,
如果顯示的訊息不是類似這個的話可能是因為：
(1)你已經加過了；(2)你的mylist滿了


最後，如何看你加過的mylist?
,
,
--
笨笨的小B on , - Photo Sharing!
,

--
,◆ From: 210.65.160.146
",[NICO] 應該是完整的Mylist教學了
"
歌唱部 
,


特別公告 收件方式

把返禮的曲目切成好幾個段落的用意是，版友不可能都想一口氣全部唱完吧?

當然亞由並不是反對一口氣唱完曲目，而是可以減少歌唱時的錯誤率。

這樣版友才能一直重複唱某一個段落，直到滿意後才儲存/上傳.

另外，也可以挑自己想唱的部分。只是唱完的段落也請標上相對應的編號。

--

EX. 返禮曲目切割成21個段落.

亞由分別唱了1、3、5、18這四個段落.

錄音完成後，就是將檔名命名為 ""01.mp3"" ""03.mp3"" ""05.mp3"" ""18.mp3""

注意，檔名的編號請用兩個位數的編號，這樣排起來比較好看.

--

接下來就是收件的方式，前面哈拉一堆，終於要講重點了...Orz

收件方式提供兩種上傳方式 HTTP and FTP 這兩種.

請選擇其中一種方式登入，然後上傳您的檔案.

====================
通道：HTTP模式
網址：,
帳號：ccaudio
密碼：ccaudio
====================

====================
通道：FTP模式
網址：ftp://spaces.sfwpro.com
帳號：ccaudio
密碼：ccaudio
====================

因為登入後，就是屬於ccaudio這個帳戶的公共區，大家在這裡面自行建置一個資料夾.

資料夾名稱請使用PTT的ID命名即可。因為這是一個公共區，請大家發揮公德心，

不要""誤刪""別人的資料夾。這個空間裡面提供總容量2GB，HTTP單檔上傳限制是10MB.

FTP單檔上傳沒有限制，如果錄音後的單檔超過10MB請採用FTP方式上傳。

在操作上有任何問題或是空間不足需擴充，請用站內信箱通知亞由(yuuchilyann)即可.

版友上傳後的每個檔案，亞由都會用心聆聽。如果有重新上傳的，也請用站內信箱告知.


,
,
C_Chat 組曲最後決定版已經出來了。感謝版友,

, ←1219更新

""編曲""決定版

如果沒有特別嚴重的錯誤
就不再更動了

曲目的分屍...痾 不對～ 分段
我已經做好了
已經放在亞由大的FTP上了

ftp://spaces.sfwpro.com

另外在此也有返禮的組曲動畫試做版本　感謝版友,
,
,
,
,

, － CLANNAD

, － 電王

, － 涼宮春日的憂鬱

, － 薔薇少女

, －,IOSYS

,

, － FF8

, － Dance Dance Revolution

, － Bust A Move

, － 秀逗魔導士

, － 秀逗魔導士

, － 海底兩萬里

,

, － 初音麵龜

,五聖佛 － 新年快樂

, － DRAGON BALL Z

, － 少女革命

, － 櫻花大戰

, － 新世紀福音戰士

,－ , ALLSTARS

, － 初音麵龜

,－ 金門王
,
,

感謝版友,)

,
,
00:00~00:17

だんご　だんご　だんご　だんご
　
               ,
だんご  だんご  大家族

だんご　だんご　だんご　だんご
　
      ,
だんご  大家族

,
,
00:06~00:23

,
 時間 の 波 をつかまえて

,
 今 すぐに行こう  約束  の 場所

,
   限界無限　 いざ飛び込めClimax Jump！

,
,
00:00~00:30 (好像無法構成參考囧)

(ミ・ミ・ミラクル　ミクルンルン)
(ミ・ミ・ミラクル　ミクルンルン)
,
 素直 に「好き」といえないキミも

,
 勇気 を出して

,
 恋 のまじない　ミクルビーム

かけてあげるわ

,
,
00:04~00:20

,
薔薇の 首輪 つなげて　 銀 の  鎖  くわえて

,
 今宵 も 一人  果てる　あなたが 憎 らしい

,
   跪   いて お嘗めよ　苦 い 愛 の  雫 を

,
 天使 に  施  す 青 いドレサージュ

,
,
01:08~01:28

,
 嫌 い　キライ　loving
(あん　ああん　あん　ああん　あん)

,
 誰 が　ダレガ　can't be alive without you

どうして　なぜかしら
(あん　ああん　あん　ああん　あん)

why why why why
don't I miss you a lot, forever.

,
知らないわ　そんな 魔法

,   ,      ,
,思いは 伝 えたら 壊 れちゃう

,
あなたとは　違 うから

  ,
ひとの  心  まで  簡単  に 盗 まないで

,
,
01:16~01:44

WHITE CHRISTMAS FALL IN LOVE

,
あなたを見ていると 挫 けそうな   毎日

,
乗り切れる　ようになる

,
,
01:55~02:37

Darling, so there you are
With that look on your face
As if you're never hurt
As if you're never down

Shall I be the one for you
Who pinches you softly but sure
If frown is shown then
I will know that you are no dreamer

,
,
00:26~01:08, 01:44~01:58

Ay, iyaiyai
Ay, iyaiyai
Ay, iyaiyai
Where's my samurai

I've been searching for a man
All across Japan
Just to find, to find my samurai
Someone who is strong
But still a little shy
Yes I need, I need my samurai
Ay, Ay, Ay, I'm your little butterfly
Green, black and blue, make the colours in the sky
Ay, Ay, Ay, I'm your little butterfly
Green, black and blue, make the colours in the sky

Ay, iyaiyai
Ay, iyaiyai
Ay, iyaiyai
Where's my samurai
Ay, iyaiyai
Ay, iyaiyai
Ay, iyaiyai
Where's my samurai

,
,
00:26~00:46 (心目中的神曲，為了這首我還特地去買了原聲帶)

,
   世界中   の 嘘 に　君 は 傷 つきながら

,
 汚 れない  心  を　確 かめている

,
   少年   の 匂 い　knifeに変えて

,
,
01:17~01:24, 01:38~01:45

,
 傷 つくことは 怖 くない　だけどけして 強 くない

,
 未来 の 自分 へと　Give a reason for life 届 けたい

,
,
00:16~00:41
,
立ち向かう 先 に 乾 いた風　 激 しく吹き荒れても

,
  呪文  の 一 つも 唱 えたなら　 私  のペースになる


 誰 もがうらやむこのパワーと　美貌　が 許 さないわ

,
どんな 相手 でも 怯 まないで　マントをなびかせるの

,
,
03:34~04:12

,
 今　 君  の目に　いっぱいの 未来

,
 言葉 は  永遠  のシグナル

                         ,
DON'T FORGET TO TRY IN MIND　愛 はjewelより

  ,
すべての  恋人  たち   輝  きを 伝 えて

,
抱きしめたい  君 を

,
,

囧

,
,
00:17~00:49

あ、らっつぁっつぁ～やりびだびりんらば　りったんりんだんれんだんどぅ

まばりぱっぱーっぱりぱりぱりり　りびりびりすてんれんだんどぅ～

やばりんらんてんだんでんあろ～わらば　るぶるぶるぶるぶれいえぶ～

ばりったんりんだんでんらんろ～たた　たたたたとぅとぅでんやぶ～

(重複一遍)

我想這個歌詞應該會比原文有用一些-_-||，這個部分不降些速度真的會很吃力

,



,
,
01:15~01:37

CHA-LA HEAD-CHA-LA

,
  頭  カラッポの 方 が　 夢 詰め込める

CHA-LA HEAD-CHA-LA

,
 笑顔 ウルトラ  Ｚ  で

,
 今日 もアイヤイヤイヤイ

,
,
01:11~01:26

,
   潔   く　脱ぎ捨てる　 裸  になる

,
 自由 を舞う薔薇のように

,
たとえ ２人   離 ればなれになっても　

,
  私  は 世界 を変える
,
,
03:14~03:42

,
 走 れ   光速  の 　　帝国華撃団

,
 唸 れ　  衝撃   の　   帝国華撃団

(重複一次)

,
,
06:53~07:20

,
　私  に 還 りなさい　生まれる 前 に

,
あなたが過ごした 大地 へと

,
この腕に 還 りなさい　めぐり逢うため

,
 奇跡 は起こるよ　 何度 でも

,
   魂   のルフラン

,
,
04:38~05:08

　,
みんな 楽 しく 笑顔 で 舞台 に立とう


 歌 やダンスで 自分 を 伝 えよう

,
 言葉 だけでは言えない 熱 い気持ちを

,
 少 しだけでも 届 けられたならば  幸  せ

,
,
03:58~04:11

ら～らららららら
ら～らららららら
ら～らららららら
ららら～あぁ～

,
,
00:00~00:24

うえ～もえ～大家來作伙
燒酒喝一杯　乎乾啦　乎乾啦
,
,
              ,
              ,

,

,
FallenAngelX
superss
del680202
crazytea

,
yuuchilyann

,
inoueryo

,
vesia
Yamoe
wix3000
bobos
lightwee
yasushou
atk709
yamino1412
ying79
yozuki
rukia114
molepoppy
Hagane
wirt30435
tazchao
gbwind
ChoDino
AslanJade
shinyho
blrk
cypherone
ShuiLing
shenjou
zenixzeni

,
Shaen
Anna
天風翼
一坪的月亮
任性
IMIS
Black cat
Angels & Devils (多人)
CSY Revolution (多人)
小馬
lalingna
infan
cwind
Twin box (多人)
那須花花


,
qqiamoswin
e1348
FallenAngelX
vesia
FMTTM
kyoujin
ax9314
Yamoe
wix3000
Senaka
Zero0910
lightwee
ax9314
plups
hotoholi
windzon
iamtom88
chianyou
comsboy
otakonata
yamino1412
eddie2570922
ying79
MAKAEDE
jjj66662000
del680202
issacs
molepoppy
nbook
realblueken
anthemstoni
soem
Hagane
vicviper
wishfull2
doe
kay1212
malindorothy
mihazu
KINO2000
AslanJade
DEVILNEKO
imfafa
sherry31202
janleon
fantasword
shinyho
roger418
ChoDino
MagusLuLu
reiko0226
shawjiunnluo
janleon
galaxyangel3
crazytea
rhodolite
moonfire
mogerlin
yaya890712
wahaha99
TUBABear

        ,

--
,◆ From: 220.140.93.108
,11/18日更新名單  差不多也快募集完了了
",[返禮]感謝計畫
"
,   
1.把想看的NICO影片網址複製，,
2.到上面網頁內把網址貼到,
3.旁邊的,
  ,，不過沒字幕而且會是全螢幕模式
              ,

,
把你想要看的影片編號複製  ,就是,
填入此串網址最後面即可,
變成,就可以直接看了，不過一樣沒字幕
,

板上貌似不少人不知道

以下用超詳細圖解

首先你要有nico的帳號  然後登入帳號

進入此網址,

然後這麼做,
,
就加入完成了

很簡單吧

這個動作貌似每天只能一次

--
喔對了...

依現在的情況  mylist數超過31的話就能進百大喔

--
,◆ From: 59.114.162.114
",[NICO] 超簡單加入mylist的方法
"
大家早阿

一下班就趕回來看狀況

先跟想看YOUTUB說聲抱歉  對不起

youtube方面不知道出了什麼問題  轉檔一直沒有完成

目前重新上傳中  希望等等就可以


--
回來看到板上的狀況  再看看nico上的留言

我想說再多推廣勸導等等  也是沒什麼用的

畢竟每個人的心是屬於自己的  愛怎麼做也管不了

或許有人認為我們的作品不值得一談

歌聲沒有J.內緒妹.兄貴等等如此般的神技

動畫也沒有漂亮的圖案.絢麗的動畫等等

但是

我們參與在其中

每當聽到S大新編好的歌曲  我是如此的興奮跟著高聲引吭

每當看到了nico的資料夾出現了新的圖  我是如此的感動  而迫不及待的編輯上去

甚至於

當我完成了大家的作品輸出時

還不忘多play了幾遍  然後心中偷偷留下感動的眼淚

因為

我們參與了

結果不見得百分百  但過程絕對是百分之兩百

這點絕對是肯定的

有很多人擔心那些不懂的禮貌的傢伙  會壞了大家的興致

如果說日方因為這個原因而鎖了台灣的ip等等行為

我想這個nico也將不值得我在留念

或許

大家是不同國家的人  有著不同的文化  說著不同的語言

但

我們都有著相同點

""熱愛AGC的這份心情""是不會變的

僅僅如此


--
好了以上是本人的碎碎念...

YOUTUBE  ok了話  我在把網址放上來

--
,◆ From: 59.114.162.114
",Re: [NICO] 組曲『ニコニコ動画』、台湾人で大合唱
"
,

剛剛很多對日文苦手的版友私下都有問我這件事情
其實日本鄉民也很常會隨著影片音樂打出歌詞內容

可以去看置底
,
裏面有所有歌的歌詞，可以直接複製貼上營造出一起唱歌的感覺也很棒



--
HA NA SE!!

--
,◆ From: 203.203.143.40
",Re: [NICO] 組曲『ニコニコ動画』、台湾人で大合唱
